date,close,macd_histogram,macd_macd,macd_signal
2024-02-01 00:00:00,42544.0,-3.4751,-11.451,-7.9759
2024-02-01 00:01:00,42603.0,-0.5284,-8.6364,-8.108
2024-02-01 00:02:00,42612.0,1.9945,-5.6149,-7.6094
2024-02-01 00:03:00,42631.0,4.7531,-1.668,-6.4211
2024-02-01 00:04:00,42597.0,4.1218,-1.2689,-5.3907
2024-02-01 00:05:00,42572.0,1.9637,-2.936,-4.8997
2024-02-01 00:06:00,42561.0,-0.1492,-5.0863,-4.937
2024-02-01 00:07:00,42542.16,-2.623,-8.2158,-5.5928
2024-02-01 00:08:00,42588.39,-1.0348,-6.8863,-5.8515
2024-02-01 00:09:00,42565.0,-1.4244,-7.632,-6.2076
2024-02-01 00:10:00,42565.0,-1.5374,-8.1293,-6.5919
2024-02-01 00:11:00,42554.46,-2.1401,-9.2671,-7.127
2024-02-01 00:12:00,42543.0,-3.0721,-10.9671,-7.895
2024-02-01 00:13:00,42536.21,-3.8565,-12.7157,-8.8591
2024-02-01 00:14:00,42552.0,-3.0576,-12.6811,-9.6235
2024-02-01 00:15:00,42573.84,-0.915,-10.7673,-9.8523
2024-02-01 00:16:00,42548.0,-1.0834,-11.2065,-10.1231
2024-02-01 00:17:00,42541.15,-1.477,-11.9693,-10.4924
2024-02-01 00:18:00,42544.0,-1.3687,-12.2032,-10.8345
2024-02-01 00:19:00,42536.0,-1.6408,-12.8856,-11.2448
2024-02-01 00:20:00,42535.72,-1.6408,-13.2957,-11.6549
2024-02-01 00:21:00,42511.44,-2.9979,-15.4024,-12.4044
2024-02-01 00:22:00,42465.49,-6.5108,-20.5429,-14.0321
2024-02-01 00:23:00,42420.0,-11.1464,-27.9651,-16.8187
2024-02-01 00:24:00,42416.91,-13.5114,-33.708,-20.1966
2024-02-01 00:25:00,42396.24,-15.4205,-39.4722,-24.0517
2024-02-01 00:26:00,42415.0,-14.3922,-42.0419,-27.6497
2024-02-01 00:27:00,42437.0,-11.3371,-41.8212,-30.484
