date,close,macd_histogram,macd_macd,macd_signal,MACD,Signal Line,Histogram,RSI,Stochastic RSI,DPO,CC
2023-12-13 06:00:00,41003.0,3.7121,19.9056,16.1935,19.9056,16.1935,3.7121,73.4317,1.0268,15.8581,0.0023
2023-12-13 06:01:00,41004.52,3.7894,20.9302,17.1409,20.9302,17.1409,3.7894,70.0021,0.8076,-0.661,0.0024
2023-12-13 06:02:00,40999.0,3.1306,21.0541,17.9235,21.0541,17.9235,3.1306,60.2948,0.263,-18.0671,0.0024
2023-12-13 06:03:00,40978.0,1.05,19.236,18.186,19.236,18.186,1.05,51.4043,-0.2357,-4.4129,0.0023
2023-12-13 06:04:00,41036.71,3.2719,22.2758,19.004,22.2758,19.004,3.2719,68.6976,0.7851,5.4524,0.0021
2023-12-13 06:05:00,41028.09,3.7696,23.7159,19.9464,23.7159,19.9464,3.7696,70.2636,0.8562,-7.4452,0.0024
2023-12-13 06:06:00,41017.42,3.0211,23.7228,20.7017,23.7228,20.7017,3.0211,71.2811,0.9024,-10.6062,0.0025
2023-12-13 06:07:00,41021.0,2.4334,23.7434,21.31,23.7434,21.31,2.4334,68.7904,0.7893,1.7581,0.0027
2023-12-13 06:08:00,41013.0,1.2326,22.8508,21.6182,22.8508,21.6182,1.2326,63.0067,0.5267,7.8852,0.0027
2023-12-13 06:09:00,41003.78,-0.3701,21.1556,21.5257,21.1556,21.5257,-0.3701,62.2981,0.4946,8.0305,0.0026
2023-12-13 06:10:00,41029.87,0.1135,21.6675,21.554,21.6675,21.554,0.1135,67.0741,0.7114,14.6124,0.0024
2023-12-13 06:11:00,41034.03,0.4797,22.1536,21.6739,22.1536,21.6739,0.4797,64.772,0.6069,13.4719,0.0024
2023-12-13 06:12:00,41029.0,0.1654,21.8807,21.7153,21.8807,21.7153,0.1654,60.7452,0.4241,4.66,0.0023
2023-12-13 06:13:00,41002.0,-1.9613,19.2637,21.225,19.2637,21.225,-1.9613,51.7756,0.0169,-20.0067,0.0022
2023-12-13 06:14:00,41022.49,-2.0773,18.6283,20.7056,18.6283,20.7056,-2.0773,54.6491,0.1473,35.6867,0.0018
2023-12-13 06:15:00,41014.4,-2.7462,17.2729,20.0191,17.2729,20.0191,-2.7462,52.2851,0.0443,23.9481,0.0017
2023-12-13 06:16:00,41030.34,-2.1868,17.2857,19.4724,17.2857,19.4724,-2.1868,56.9153,0.2773,11.1638,0.0012
2023-12-13 06:17:00,41010.7,-3.1524,15.5319,18.6843,15.5319,18.6843,-3.1524,57.2589,0.2945,11.521,0.0011
2023-12-13 06:18:00,41032.0,-2.4034,15.6801,18.0835,15.6801,18.0835,-2.4034,48.7462,-0.1553,1.321,0.0009
2023-12-13 06:19:00,41032.0,-1.9728,15.6175,17.5903,15.6175,17.5903,-1.9728,51.0909,0.104,-10.3195,0.0007
2023-12-13 06:20:00,41029.54,-1.9168,15.1942,17.1111,15.1942,17.1111,-1.9168,53.5439,0.2129,13.8533,0.0007
2023-12-13 06:21:00,41033.54,-1.682,15.0085,16.6906,15.0085,16.6906,-1.682,53.6577,0.245,16.3686,0.0006
2023-12-13 06:22:00,41030.96,-1.7635,14.4862,16.2497,14.4862,16.2497,-1.7635,55.4096,0.3636,9.8843,0.0006
2023-12-13 06:23:00,41031.96,-1.8064,13.9917,15.7981,13.9917,15.7981,-1.8064,58.9302,0.5557,-18.3748,0.0005
2023-12-13 06:24:00,40999.0,-3.9861,10.8155,14.8016,10.8155,14.8016,-3.9861,40.6256,-0.4431,0.5457,0.0006
2023-12-13 06:25:00,41000.0,-5.2144,8.2835,13.4979,8.2835,13.4979,-5.2144,39.4637,-0.0481,-8.5443,0.0003
2023-12-13 06:26:00,40995.02,-6.1519,5.8081,11.96,5.8081,11.96,-6.1519,39.476,0.0006,9.1438,-0.0
2023-12-13 06:27:00,40989.0,-6.9102,3.3223,10.2324,3.3223,10.2324,-6.9102,45.3723,0.3035,-8.9214,-0.0003
2023-12-13 06:28:00,40994.0,-6.7974,1.7357,8.5331,1.7357,8.5331,-6.7974,38.6013,-0.0443,13.7319,-0.0005
2023-12-13 06:29:00,40973.82,-7.736,-1.1369,6.5991,-1.1369,6.5991,-7.736,35.1963,-0.1675,15.0176,-0.0007
2023-12-13 06:30:00,40980.09,-7.5788,-2.8745,4.7044,-2.8745,4.7044,-7.5788,30.2771,-0.2073,14.4233,-0.0011
