date,close,macd_histogram,macd_macd,macd_signal,MACD,Signal Line,Histogram,RSI,Stochastic RSI,DPO,CC
2024-02-03 06:00:00,43148.5,5.0306,5.2984,0.2678,5.2984,0.2678,5.0306,71.139,0.9743,10.571,0.0015
2024-02-03 06:01:00,43146.0,4.6127,6.0337,1.421,6.0337,1.421,4.6127,67.5952,0.8938,2.9652,0.0018
2024-02-03 06:02:00,43142.0,3.8407,6.2219,2.3811,6.2219,2.3811,3.8407,75.6082,1.0758,6.74,0.0018
2024-02-03 06:03:00,43143.0,3.1977,6.3782,3.1806,6.3782,3.1806,3.1977,82.4272,1.144,6.489,0.0018
2024-02-03 06:04:00,43143.46,2.6273,6.4647,3.8374,6.4647,3.8374,2.6273,68.2684,0.6197,1.7748,0.0018
2024-02-03 06:05:00,43148.39,2.4118,6.8521,4.4403,6.8521,4.4403,2.4118,79.9536,0.9295,7.8171,0.0016
2024-02-03 06:06:00,43148.4,2.1104,7.0783,4.9679,7.0783,4.9679,2.1104,77.125,0.8316,8.5914,0.0015
2024-02-03 06:07:00,43148.41,1.7662,7.1757,5.4095,7.1757,5.4095,1.7662,76.491,0.7781,6.271,0.0014
2024-02-03 06:08:00,43147.39,1.3435,7.0888,5.7453,7.0888,5.7453,1.3435,80.432,0.9206,6.63,0.0013
2024-02-03 06:09:00,43147.52,0.964,6.9503,5.9863,6.9503,5.9863,0.964,75.1076,0.7085,13.2571,0.0011
2024-02-03 06:10:00,43138.0,0.0135,6.0032,5.9897,6.0032,5.9897,0.0135,52.7716,-0.3944,12.2086,0.001
2024-02-03 06:11:00,43126.0,-1.4034,4.2355,5.6389,4.2355,5.6389,-1.4034,39.6007,-0.4441,7.2543,0.0007
2024-02-03 06:12:00,43119.87,-2.6605,2.3133,4.9738,2.3133,4.9738,-2.6605,31.9202,-0.1793,3.2457,0.0004
2024-02-03 06:13:00,43117.0,-3.5375,0.5519,4.0894,0.5519,4.0894,-3.5375,17.4479,-0.2865,4.2519,0.0001
2024-02-03 06:14:00,43109.0,-4.4495,-1.4725,2.977,-1.4725,2.977,-4.4495,12.4382,-0.0771,5.1343,-0.0002
2024-02-03 06:15:00,43108.0,-4.8789,-3.1216,1.7573,-3.1216,1.7573,-4.8789,12.8034,0.0052,10.9214,-0.0006
2024-02-03 06:16:00,43116.5,-4.3658,-3.7,0.6658,-3.7,0.6658,-4.3658,27.0601,0.2089,11.6933,-0.0009
2024-02-03 06:17:00,43116.49,-3.8221,-4.1118,-0.2897,-4.1118,-0.2897,-3.8221,25.719,0.1898,12.4581,-0.001
2024-02-03 06:18:00,43116.51,-3.277,-4.3859,-1.1089,-4.3859,-1.1089,-3.277,25.1154,0.1864,12.3671,-0.0012
2024-02-03 06:19:00,43096.0,-4.0623,-6.1869,-2.1245,-6.1869,-2.1245,-4.0623,12.4337,-0.0001,13.4252,-0.0013
2024-02-03 06:20:00,43097.0,-4.2585,-7.4476,-3.1891,-7.4476,-3.1891,-4.2585,13.6595,0.018,5.9314,-0.0015
2024-02-03 06:21:00,43099.0,-4.0014,-8.1909,-4.1895,-8.1909,-4.1895,-4.0014,16.0226,0.0528,-3.6876,-0.0017
2024-02-03 06:22:00,43113.0,-2.6989,-7.5631,-4.8642,-7.5631,-4.8642,-2.6989,29.9335,0.2574,-7.4605,-0.0018
2024-02-03 06:23:00,43125.0,-0.9309,-6.0278,-5.0969,-6.0278,-5.0969,-0.9309,38.4584,0.4152,-8.759,-0.0017
2024-02-03 06:24:00,43126.0,0.3364,-4.6765,-5.0129,-4.6765,-5.0129,0.3364,43.2615,0.7642,-15.9495,-0.0015
2024-02-03 06:25:00,43118.46,0.6775,-4.166,-4.8435,-4.166,-4.8435,0.6775,45.5427,1.074,-16.14,-0.0012
2024-02-03 06:26:00,43107.79,0.2191,-4.5696,-4.7887,-4.5696,-4.7887,0.2191,43.2226,0.9299,-6.4495,-0.001
2024-02-03 06:27:00,43093.0,-0.98,-6.0137,-5.0337,-6.0137,-5.0337,-0.98,38.1235,0.7759,-4.5262,-0.0008
2024-02-03 06:28:00,43101.42,-1.0969,-6.4048,-5.3079,-6.4048,-5.3079,-1.0969,46.2645,1.0218,-1.8681,-0.0008
2024-02-03 06:29:00,43100.0,-1.1549,-6.7516,-5.5967,-6.7516,-5.5967,-1.1549,46.0738,0.9944,-20.1405,-0.0007
2024-02-03 06:30:00,43095.0,-1.3988,-7.3452,-5.9464,-7.3452,-5.9464,-1.3988,39.073,0.7874,-16.8838,-0.0006
2024-02-03 06:31:00,43093.0,-1.5518,-7.8861,-6.3343,-7.8861,-6.3343,-1.5518,38.2983,0.7645,-12.3829,-0.0005
2024-02-03 06:32:00,43092.0,-1.5724,-8.2997,-6.7274,-8.2997,-6.7274,-1.5724,37.9082,0.753,3.76,-0.0005
2024-02-03 06:33:00,43096.5,-1.1543,-8.1703,-7.016,-8.1703,-7.016,-1.1543,50.2929,1.1191,17.379,-0.0006
2024-02-03 06:34:00,43088.0,-1.3103,-8.6538,-7.3435,-8.6538,-7.3435,-1.3103,45.153,0.8597,19.4919,-0.0006
2024-02-03 06:35:00,43101.14,-0.4338,-7.8858,-7.452,-7.8858,-7.452,-0.4338,51.029,1.0215,13.3329,-0.0007
2024-02-03 06:36:00,43084.0,-0.8877,-8.5616,-7.6739,-8.5616,-7.6739,-0.8877,36.4638,0.3096,3.0371,-0.0006
2024-02-03 06:37:00,43084.0,-1.0556,-8.9934,-7.9378,-8.9934,-7.9378,-1.0556,28.4483,-0.5503,-10.61,-0.0008
2024-02-03 06:38:00,43099.69,-0.0319,-7.9776,-7.9458,-7.9776,-7.9458,-0.0319,38.0202,0.4239,-0.6424,-0.0009
2024-02-03 06:39:00,43099.7,0.6845,-7.0901,-7.7746,-7.0901,-7.7746,0.6845,40.8291,0.5483,-1.2624,-0.0009
2024-02-03 06:40:00,43072.0,-0.5992,-8.5236,-7.9244,-8.5236,-7.9244,-0.5992,35.0013,0.2902,-5.4619,-0.0008
2024-02-03 06:41:00,43095.49,0.1989,-7.6758,-7.8747,-7.6758,-7.8747,0.1989,50.9726,0.9975,-6.319,-0.0009
2024-02-03 06:42:00,43107.0,1.4951,-6.0059,-7.5009,-6.0059,-7.5009,1.4951,52.1281,1.0487,-7.2471,-0.0008
2024-02-03 06:43:00,43110.35,2.5113,-4.3618,-6.8731,-4.3618,-6.8731,2.5113,53.8901,1.0744,-3.1281,-0.0005
2024-02-03 06:44:00,43109.99,3.0563,-3.0528,-6.109,-3.0528,-6.109,3.0563,55.8377,1.0766,-11.5019,-0.0003
2024-02-03 06:45:00,43093.0,2.2091,-3.3477,-5.5568,-3.3477,-5.5568,2.2091,50.0,0.7869,2.3529,-0.0001
2024-02-03 06:46:00,43093.0,1.6129,-3.5406,-5.1536,-3.5406,-5.1536,1.6129,50.3512,0.7997,-13.2157,0.0
2024-02-03 06:47:00,43086.0,0.755,-4.2099,-4.9648,-4.2099,-4.9648,0.755,46.3763,0.6546,-12.0033,0.0
2024-02-03 06:48:00,43085.85,0.2133,-4.6981,-4.9115,-4.6981,-4.9115,0.2133,49.2126,0.7581,4.7243,0.0001
2024-02-03 06:49:00,43095.48,0.522,-4.259,-4.781,-4.259,-4.781,0.522,47.8725,0.7092,5.0748,0.0001
2024-02-03 06:50:00,43095.48,0.7317,-3.8664,-4.5981,-3.8664,-4.5981,0.7317,54.9534,0.9677,-22.3424,0.0
2024-02-03 06:51:00,43096.28,0.9177,-3.4509,-4.3686,-3.4509,-4.3686,0.9177,55.2623,0.979,1.3629,0.0001
2024-02-03 06:52:00,43095.0,0.9444,-3.1881,-4.1325,-3.1881,-4.1325,0.9444,47.707,0.6098,12.8119,0.0002
2024-02-03 06:53:00,43095.0,0.9493,-2.9459,-3.8952,-2.9459,-3.8952,0.9493,47.7019,0.6095,16.0667,0.0001
2024-02-03 06:54:00,43098.0,1.1295,-2.4833,-3.6128,-2.4833,-3.6128,1.1295,66.7612,1.5243,15.5638,0.0
2024-02-03 06:55:00,43092.0,0.8333,-2.5712,-3.4045,-2.5712,-3.4045,0.8333,47.0951,0.0353,-1.4976,0.0001
2024-02-03 06:56:00,43100.0,1.1456,-1.9725,-3.1181,-1.9725,-3.1181,1.1456,43.8119,-0.1258,-1.6881,-0.0
2024-02-03 06:57:00,43104.0,1.5649,-1.162,-2.7269,-1.162,-2.7269,1.5649,44.4503,0.0278,-8.6338,-0.0
2024-02-03 06:58:00,43079.0,0.1751,-2.508,-2.6831,-2.508,-2.6831,0.1751,31.069,-0.5553,-9.7362,-0.0
2024-02-03 06:59:00,43075.0,-0.9359,-3.853,-2.9171,-3.853,-2.9171,-0.9359,36.93,0.1642,0.1319,-0.0002
2024-02-03 07:00:00,43070.0,-1.8758,-5.2618,-3.386,-5.2618,-3.386,-1.8758,34.43,0.0942,1.3076,-0.0003
2024-02-03 07:01:00,43073.0,-2.1442,-6.0662,-3.9221,-6.0662,-3.9221,-2.1442,40.6957,0.2697,3.5219,-0.0005
2024-02-03 07:02:00,43077.0,-1.909,-6.3083,-4.3993,-6.3083,-4.3993,-1.909,43.9967,0.3622,2.1943,-0.0006
2024-02-03 07:03:00,43073.0,-1.8767,-6.7451,-4.8685,-6.7451,-4.8685,-1.8767,33.49,0.0678,3.0748,-0.0006
2024-02-03 07:04:00,43086.45,-0.8553,-5.9376,-5.0823,-5.9376,-5.0823,-0.8553,44.4622,0.3752,7.6938,-0.0007
2024-02-03 07:05:00,43070.0,-1.1737,-6.5495,-5.3757,-6.5495,-5.3757,-1.1737,36.4787,0.1516,2.8319,-0.0007
2024-02-03 07:06:00,43067.0,-1.4543,-7.1936,-5.7393,-7.1936,-5.7393,-1.4543,35.8443,0.1338,12.7362,-0.0008
