date,close,macd_histogram,macd_macd,macd_signal,MACD,Signal Line,Histogram,RSI,Stochastic RSI,DPO,CC
2024-03-04 00:00:00,63140.0,14.4352,59.1257,44.6905,59.1257,44.6905,14.4352,78.8274,0.7092,-2.1605,0.006
2024-03-04 00:01:00,63195.0,15.0036,63.4451,48.4414,63.4451,48.4414,15.0036,84.6154,0.828,-15.2081,0.0059
2024-03-04 00:02:00,63171.0,12.6001,64.1916,51.5915,64.1916,51.5915,12.6001,80.9264,0.7192,0.3633,0.0061
2024-03-04 00:03:00,63090.0,4.7936,57.5834,52.7899,57.5834,52.7899,4.7936,62.531,-0.0588,0.7443,0.0062
2024-03-04 00:04:00,63064.0,-2.4913,49.6758,52.1671,49.6758,52.1671,-2.4913,57.8571,-0.1534,49.6014,0.0056
2024-03-04 00:05:00,63130.0,-3.1903,48.1792,51.3695,48.1792,51.3695,-3.1903,63.5802,0.1629,41.8871,0.0048
2024-03-04 00:06:00,63116.0,-4.8229,45.3408,50.1637,45.3408,50.1637,-4.8229,59.2751,0.0403,67.2681,0.0042
2024-03-04 00:07:00,63080.0,-8.3482,39.7285,48.0767,39.7285,48.0767,-8.3482,53.6735,-0.119,46.6967,0.0036
2024-03-04 00:08:00,63139.0,-6.7932,39.5852,46.3784,39.5852,46.3784,-6.7932,53.6735,0.0,45.4952,0.0028
2024-03-04 00:09:00,63178.0,-3.3964,42.1329,45.5293,42.1329,45.5293,-3.3964,57.3055,0.0924,81.2205,0.0022
2024-03-04 00:10:00,63213.0,0.7292,46.4408,45.7116,46.4408,45.7116,0.7292,57.3864,0.0944,39.0776,0.002
2024-03-04 00:11:00,63232.0,4.0727,50.8024,46.7298,50.8024,46.7298,4.0727,60.2996,0.1934,83.411,0.0018
2024-03-04 00:12:00,63285.0,8.9111,57.8686,48.9575,57.8686,48.9575,8.9111,63.6133,0.29,48.2681,0.0019
2024-03-04 00:13:00,63242.0,8.2861,59.3152,51.0291,59.3152,51.0291,8.2861,56.1102,0.0711,-46.3986,0.0022
2024-03-04 00:14:00,63250.0,7.5053,60.4107,52.9054,60.4107,52.9054,7.5053,59.8566,0.1998,-82.5414,0.0022
2024-03-04 00:15:00,63309.0,9.9054,65.2871,55.3817,65.2871,55.3817,9.9054,60.1423,0.2091,-26.351,0.0027
2024-03-04 00:16:00,63386.88,15.3557,74.5763,59.2207,74.5763,59.2207,15.3557,67.5261,0.5083,-50.1605,0.0033
2024-03-04 00:17:00,63330.0,13.797,76.4669,62.6699,76.4669,62.6699,13.797,70.2785,1.1987,-99.7738,0.0042
2024-03-04 00:18:00,63380.38,14.7406,81.0956,66.355,81.0956,66.355,14.7406,75.6744,1.325,-50.0595,0.0049
