date,symbol,open,high,low,close
01-10-19 00:00,BTC/USD,8304.47,8340.0,8300.66,8313.0
01-10-19 00:01,BTC/USD,8303.33,8310.63,8294.44,8294.44
01-10-19 00:02,BTC/USD,8294.44,8294.44,8284.33,8284.33
01-10-19 00:03,BTC/USD,8283.07,8283.07,8260.82,8262.83
01-10-19 00:04,BTC/USD,8257.31,8267.18,8257.31,8259.92
01-10-19 00:05,BTC/USD,8269.05,8273.92,8259.8,8259.8
01-10-19 00:06,BTC/USD,8266.7,8271.14,8260.29,8263.79
01-10-19 00:07,BTC/USD,8256.27,8260.4,8251.27,8251.27
01-10-19 00:08,BTC/USD,8256.45,8269.83,8254.88,8269.81
01-10-19 00:09,BTC/USD,8264.43,8269.21,8254.25,8263.81
01-10-19 00:10,BTC/USD,8257.29,8257.29,8248.74,8248.74
01-10-19 00:11,BTC/USD,8246.68,8252.43,8228.97,8240.1
01-10-19 00:12,BTC/USD,8247.11,8247.11,8240.78,8242.44
01-10-19 00:13,BTC/USD,8242.65,8248.88,8242.65,8246.13
01-10-19 00:14,BTC/USD,8250.54,8260.08,8250.46,8259.97
01-10-19 00:15,BTC/USD,8254.46,8262.93,8252.48,8252.51
01-10-19 00:16,BTC/USD,8257.72,8273.27,8254.0,8273.27
01-10-19 00:17,BTC/USD,8267.43,8269.04,8259.31,8260.0
01-10-19 00:18,BTC/USD,8263.77,8263.77,8251.61,8251.61
01-10-19 00:19,BTC/USD,8258.64,8263.63,8251.54,8263.55
01-10-19 00:20,BTC/USD,8250.77,8257.22,8244.01,8244.01
01-10-19 00:21,BTC/USD,8238.62,8253.32,8238.62,8238.86
01-10-19 00:22,BTC/USD,8248.38,8248.38,8237.33,8237.33
01-10-19 00:23,BTC/USD,8237.3,8241.24,8230.0,8239.42
01-10-19 00:24,BTC/USD,8234.74,8241.1,8230.36,8230.36
01-10-19 00:25,BTC/USD,8238.55,8246.41,8232.63,8246.41
01-10-19 00:26,BTC/USD,8235.92,8253.52,8235.92,8253.35
01-10-19 00:27,BTC/USD,8243.47,8254.79,8243.47,8252.44
01-10-19 00:28,BTC/USD,8238.4,8249.17,8235.67,8235.67
01-10-19 00:29,BTC/USD,8242.6,8247.03,8235.71,8235.77
01-10-19 00:30,BTC/USD,8240.88,8245.56,8234.26,8245.56
01-10-19 00:31,BTC/USD,8240.97,8245.35,8234.23,8234.23
01-10-19 00:32,BTC/USD,8237.24,8237.24,8224.3,8224.3
01-10-19 00:33,BTC/USD,8224.3,8234.42,8224.3,8227.1
01-10-19 00:34,BTC/USD,8220.8,8227.95,8216.04,8216.04
01-10-19 00:35,BTC/USD,8208.81,8225.47,8207.79,8210.7
01-10-19 00:36,BTC/USD,8226.05,8226.05,8224.62,8224.62
01-10-19 00:37,BTC/USD,8224.62,8227.84,8210.78,8210.78
01-10-19 00:38,BTC/USD,8218.55,8221.85,8207.83,8220.08
01-10-19 00:39,BTC/USD,8227.95,8236.53,8218.15,8236.53
01-10-19 00:40,BTC/USD,8230.73,8237.75,8225.73,8230.0
01-10-19 00:41,BTC/USD,8232.13,8238.57,8230.0,8238.57
01-10-19 00:42,BTC/USD,8238.57,8242.9,8233.25,8242.56
01-10-19 00:43,BTC/USD,8235.14,8242.81,8230.89,8242.81
01-10-19 00:44,BTC/USD,8242.81,8242.81,8238.13,8242.79
01-10-19 00:45,BTC/USD,8238.08,8238.08,8226.52,8226.52
01-10-19 00:46,BTC/USD,8233.03,8233.03,8230.09,8230.09
01-10-19 00:47,BTC/USD,8228.03,8230.0,8220.99,8229.89
01-10-19 00:48,BTC/USD,8220.56,8229.95,8220.56,8229.95
01-10-19 00:49,BTC/USD,8229.95,8229.95,8225.32,8225.32
01-10-19 00:50,BTC/USD,8229.82,8229.82,8222.21,8228.65
01-10-19 00:51,BTC/USD,8222.87,8222.87,8222.86,8222.86
01-10-19 00:52,BTC/USD,8223.63,8223.63,8216.44,8216.44
01-10-19 00:53,BTC/USD,8220.04,8223.63,8215.99,8223.59
01-10-19 00:54,BTC/USD,8223.17,8229.03,8218.18,8218.21
01-10-19 00:55,BTC/USD,8222.29,8222.29,8218.21,8218.21
01-10-19 00:56,BTC/USD,8223.17,8229.84,8223.17,8229.84
01-10-19 00:57,BTC/USD,8229.11,8229.76,8223.55,8229.4
01-10-19 00:58,BTC/USD,8229.4,8229.4,8229.29,8229.29
01-10-19 00:59,BTC/USD,8229.07,8229.35,8218.86,8229.35
01-10-19 01:00,BTC/USD,8229.37,8229.37,8228.05,8228.05
01-10-19 01:01,BTC/USD,8228.05,8228.05,8217.88,8220.57
01-10-19 01:02,BTC/USD,8218.6,8218.6,8218.6,8218.6
01-10-19 01:03,BTC/USD,8221.27,8221.27,8221.27,8221.27
01-10-19 01:04,BTC/USD,8218.39,8220.35,8215.98,8220.35
01-10-19 01:05,BTC/USD,8216.25,8217.96,8205.99,8205.99
01-10-19 01:06,BTC/USD,8209.56,8209.56,8199.93,8206.41
01-10-19 01:07,BTC/USD,8203.52,8205.83,8201.88,8201.88
01-10-19 01:08,BTC/USD,8205.82,8214.98,8203.38,8210.19
01-10-19 01:09,BTC/USD,8212.58,8212.58,8205.79,8205.79
01-10-19 01:10,BTC/USD,8214.88,8215.01,8199.16,8200.0
01-10-19 01:11,BTC/USD,8206.97,8210.26,8195.42,8210.26
01-10-19 01:12,BTC/USD,8214.04,8234.37,8214.04,8215.26
01-10-19 01:13,BTC/USD,8220.23,8242.76,8216.97,8229.94
01-10-19 01:14,BTC/USD,8234.95,8240.14,8225.2,8225.2
01-10-19 01:15,BTC/USD,8238.08,8238.08,8231.91,8231.91
01-10-19 01:16,BTC/USD,8239.97,8247.84,8232.68,8232.68
01-10-19 01:17,BTC/USD,8237.72,8242.78,8232.72,8232.74
01-10-19 01:18,BTC/USD,8242.81,8242.81,8232.92,8232.92
01-10-19 01:19,BTC/USD,8237.76,8242.8,8232.87,8233.21
01-10-19 01:20,BTC/USD,8237.99,8242.77,8233.12,8233.19
01-10-19 01:21,BTC/USD,8242.74,8249.58,8233.1,8236.42
01-10-19 01:22,BTC/USD,8243.04,8249.22,8238.74,8239.3
01-10-19 01:23,BTC/USD,8249.22,8249.25,8239.36,8239.36
01-10-19 01:24,BTC/USD,8244.26,8244.35,8237.0,8237.0
01-10-19 01:25,BTC/USD,8246.56,8251.37,8240.32,8240.32
01-10-19 01:26,BTC/USD,8244.6,8249.91,8237.75,8237.75
01-10-19 01:27,BTC/USD,8243.96,8248.54,8238.96,8239.03
01-10-19 01:28,BTC/USD,8241.04,8241.04,8229.42,8229.42
01-10-19 01:29,BTC/USD,8232.14,8235.36,8217.29,8235.36
