date,close,macd_histogram,macd_macd,macd_signal
2024-03-01 18:00:00,3419.7,-0.6676,0.6825,1.35
2024-03-01 18:01:00,3417.1,-0.7198,0.4503,1.1701
2024-03-01 18:02:00,3414.5,-0.8914,0.0558,0.9472
2024-03-01 18:03:00,3412.75,-1.0726,-0.3935,0.6791
2024-03-01 18:04:00,3416.67,-0.8859,-0.4283,0.4576
2024-03-01 18:05:00,3417,-0.7056,-0.4244,0.2812
2024-03-01 18:06:00,3418.3,-0.4752,-0.3128,0.1624
2024-03-01 18:07:00,3418.45,-0.2978,-0.2098,0.0879
2024-03-01 18:08:00,3419.8,-0.0856,-0.0191,0.0665
2024-03-01 18:09:00,3419,0.0002,0.0668,0.0666
2024-03-01 18:10:00,3416.6,-0.0998,-0.0582,0.0416
2024-03-01 18:11:00,3417.8,-0.081,-0.0597,0.0214
2024-03-01 18:12:00,3418.6,-0.0142,0.0037,0.0178
2024-03-01 18:13:00,3419.7,0.0985,0.141,0.0425
2024-03-01 18:14:00,3418.4,0.0806,0.1433,0.0626
2024-03-01 18:15:00,3417.9,0.0327,0.1035,0.0708
2024-03-01 18:16:00,3417.5,-0.0252,0.0393,0.0645
2024-03-01 18:17:00,3414.77,-0.235,-0.2292,0.0058
2024-03-01 18:18:00,3414.17,-0.3925,-0.4849,-0.0924
2024-03-01 18:19:00,3415.3,-0.3977,-0.5895,-0.1918
2024-03-01 18:20:00,3419.4,-0.1167,-0.3377,-0.221
2024-03-01 18:21:00,3416.8,-0.0984,-0.344,-0.2456
2024-03-01 18:22:00,3422.73,0.2989,0.1281,-0.1708
2024-03-01 18:23:00,3424.5,0.6468,0.6377,-0.0091
2024-03-01 18:24:00,3424.6,0.8374,1.0376,0.2002
2024-03-01 18:25:00,3423.2,0.8218,1.2275,0.4057
2024-03-01 18:26:00,3420.9,0.6185,1.1787,0.5603
2024-03-01 18:27:00,3423.4,0.613,1.3266,0.7135
2024-03-01 18:28:00,3425.1,0.6795,1.5629,0.8834
2024-03-01 18:29:00,3426.1,0.7413,1.81,1.0687
2024-03-01 18:30:00,3428.3,0.8718,2.1585,1.2867
2024-03-01 18:31:00,3427.6,0.8515,2.351,1.4995
2024-03-01 18:32:00,3426.6,0.7167,2.3954,1.6787
2024-03-01 18:33:00,3424.4,0.4389,2.2273,1.7884
2024-03-01 18:34:00,3424.6,0.2382,2.0862,1.848
2024-03-01 18:35:00,3423.2,-0.0062,1.8402,1.8464
2024-03-01 18:36:00,3426.1,0.0091,1.8578,1.8487
2024-03-01 18:37:00,3430.1,0.2567,2.1695,1.9129
2024-03-01 18:38:00,3431.8,0.4894,2.5246,2.0352
2024-03-01 18:39:00,3430.7,0.5209,2.6863,2.1654
2024-03-01 18:40:00,3428.6,0.3596,2.6149,2.2553
2024-03-01 18:41:00,3429.2,0.2573,2.577,2.3197
2024-03-01 18:42:00,3432.7,0.382,2.7971,2.4152
2024-03-01 18:43:00,3430.4,0.2713,2.7542,2.483
2024-03-01 18:44:00,3430.28,0.1574,2.6797,2.5223
2024-03-01 18:45:00,3430.45,0.0656,2.6043,2.5387
2024-03-01 18:46:00,3428.9,-0.1174,2.3919,2.5094
2024-03-01 18:47:00,3429.7,-0.1978,2.2621,2.4599
2024-03-01 18:48:00,3432.7,-0.0688,2.3739,2.4427
2024-03-01 18:49:00,3430.47,-0.1489,2.2565,2.4055
2024-03-01 18:50:00,3430.2,-0.2305,2.1173,2.3478
2024-03-01 18:51:00,3427.51,-0.4626,1.7696,2.2322
