date,close,macd_histogram,macd_macd,macd_signal,MACD,Signal Line,Histogram,RSI,Stochastic RSI,DPO,CC
2023-12-16 00:00:00,2219.95,0.0615,-1.2227,-1.2842,-1.2227,-1.2842,0.0615,44.6686,0.389,2.2833,-0.002
2023-12-16 00:01:00,2221.8,0.2884,-0.9236,-1.2121,-0.9236,-1.2121,0.2884,51.8359,0.8799,3.0867,-0.002
2023-12-16 00:02:00,2224.8,0.6181,-0.4395,-1.0576,-0.4395,-1.0576,0.6181,56.9913,1.1518,2.089,-0.0017
2023-12-16 00:03:00,2224.67,0.7936,-0.0656,-0.8592,-0.0656,-0.8592,0.7936,60.1527,1.1448,-1.0229,-0.001
2023-12-16 00:04:00,2225.5,0.9228,0.2944,-0.6284,0.2944,-0.6284,0.9228,58.2623,0.9244,-1.6667,-0.0002
2023-12-16 00:05:00,2225.1,0.9356,0.5411,-0.3945,0.5411,-0.3945,0.9356,55.4171,0.8106,-2.7305,0.0008
2023-12-16 00:06:00,2225.84,0.9455,0.7873,-0.1582,0.7873,-0.1582,0.9455,60.1096,0.9983,-4.0929,0.0015
2023-12-16 00:07:00,2226.3,0.9328,1.0079,0.075,1.0079,0.075,0.9328,72.9885,1.5135,-5.0748,0.0024
2023-12-16 00:08:00,2227.6,0.9583,1.2729,0.3146,1.2729,0.3146,0.9583,76.6406,1.0965,-2.589,0.0036
2023-12-16 00:09:00,2227.8,0.9339,1.482,0.5481,1.482,0.5481,0.9339,80.4605,1.0921,-3.6976,0.0049
2023-12-16 00:10:00,2228.61,0.9164,1.6936,0.7772,1.6936,0.7772,0.9164,87.1275,1.1721,-2.1286,0.0059
2023-12-16 00:11:00,2225.1,0.6263,1.56,0.9338,1.56,0.9338,0.6263,73.9505,0.7098,-0.6562,0.0069
2023-12-16 00:12:00,2226.8,0.5116,1.5732,1.0617,1.5732,1.0617,0.5116,72.4687,0.6548,2.2152,0.0071
2023-12-16 00:13:00,2228.1,0.4862,1.6694,1.1832,1.6694,1.1832,0.4862,77.6549,0.7769,1.909,0.0071
2023-12-16 00:14:00,2228.7,0.4722,1.7735,1.3013,1.7735,1.3013,0.4722,75.9952,0.7378,2.4557,0.007
2023-12-16 00:15:00,2229.0,0.446,1.8588,1.4128,1.8588,1.4128,0.446,73.5602,0.6156,1.5986,0.0069
2023-12-16 00:16:00,2230.2,0.4699,2.0002,1.5303,2.0002,1.5303,0.4699,70.0297,0.4608,1.8505,0.0065
2023-12-16 00:17:00,2230.3,0.4527,2.0962,1.6434,2.0962,1.6434,0.4527,70.9294,0.4892,1.73,0.0061
