date,close,macd_histogram,macd_macd,macd_signal,MACD,Signal Line,Histogram,RSI,Stochastic RSI,DPO,CC
2024-02-04 00:37:00,2294.1,0.1075,-0.2662,-0.3737,-0.2662,-0.3737,0.1075,53.6697,0.8627,-0.9643,-0.0016
2024-02-04 00:38:00,2295.45,0.2432,-0.0697,-0.3129,-0.0697,-0.3129,0.2432,66.3594,1.2926,-1.2119,-0.0011
2024-02-04 00:39:00,2295.5,0.3215,0.0891,-0.2325,0.0891,-0.2325,0.3215,67.1296,1.0202,-0.4905,-0.0004
2024-02-04 00:40:00,2297.0,0.4516,0.3321,-0.1196,0.3321,-0.1196,0.4516,68.018,1.0228,-0.781,0.0004
2024-02-04 00:41:00,2297.4,0.5361,0.5506,0.0144,0.5506,0.0144,0.5361,70.354,1.0587,-0.7095,0.0011
2024-02-04 00:42:00,2296.3,0.4906,0.6277,0.1371,0.6277,0.1371,0.4906,65.7025,0.8896,0.1619,0.0018
2024-02-04 00:43:00,2297.1,0.4862,0.7449,0.2587,0.7449,0.2587,0.4862,65.9836,0.8963,-2.4524,0.0023
2024-02-04 00:44:00,2297.0,0.4492,0.8202,0.371,0.8202,0.371,0.4492,67.0833,0.9224,-1.6857,0.0027
2024-02-04 00:45:00,2297.02,0.4004,0.8714,0.4711,0.8714,0.4711,0.4004,66.8624,0.9172,-0.5119,0.0031
2024-02-04 00:46:00,2295.7,0.2602,0.7963,0.5361,0.7963,0.5361,0.2602,57.2934,0.6901,-0.9057,0.0034
2024-02-04 00:47:00,2296.36,0.196,0.7811,0.5851,0.7811,0.5851,0.196,74.3269,1.0943,-0.3914,0.0032
2024-02-04 00:48:00,2296.6,0.1554,0.7794,0.624,0.7794,0.624,0.1554,72.5873,0.9597,0.7986,0.0033
2024-02-04 00:49:00,2296.52,0.1111,0.7628,0.6517,0.7628,0.6517,0.1111,67.5325,0.7998,0.6676,0.0032
2024-02-04 00:50:00,2296.6,0.0766,0.7475,0.6709,0.7475,0.6709,0.0766,69.0476,0.8137,1.9762,0.003
2024-02-04 00:51:00,2297.8,0.1214,0.8227,0.7012,0.8227,0.7012,0.1214,70.7865,0.8286,2.2143,0.0027
2024-02-04 00:52:00,2297.9,0.1432,0.8802,0.737,0.8802,0.737,0.1432,66.0131,0.5119,0.881,0.0025
2024-02-04 00:53:00,2297.2,0.0979,0.8594,0.7615,0.8594,0.7615,0.0979,60.241,0.173,1.4476,0.0022
2024-02-04 00:54:00,2296.5,0.0128,0.7775,0.7647,0.7775,0.7647,0.0128,46.6667,-0.6239,1.1905,0.002
2024-02-04 00:55:00,2297.0,-0.0163,0.7443,0.7606,0.7443,0.7606,-0.0163,47.3684,0.0254,0.9629,0.0014
2024-02-04 00:56:00,2298.32,0.0436,0.8152,0.7715,0.8152,0.7715,0.0436,62.9156,0.5874,-0.5857,0.0011
2024-02-04 00:57:00,2298.6,0.0897,0.8837,0.794,0.8837,0.794,0.0897,60.274,0.4919,-0.1529,0.001
2024-02-04 00:58:00,2297.8,0.0556,0.8635,0.8079,0.8635,0.8079,0.0556,55.0,0.3013,-0.1605,0.0011
2024-02-04 00:59:00,2298.26,0.0533,0.8745,0.8212,0.8745,0.8212,0.0533,57.346,0.3861,-0.4167,0.001
2024-02-04 01:00:00,2298.6,0.0633,0.9004,0.837,0.9004,0.837,0.0633,69.437,0.8232,-0.4705,0.001
2024-02-04 01:01:00,2298.11,0.0273,0.8712,0.8439,0.8712,0.8439,0.0273,62.0027,0.5544,0.5819,0.0012
2024-02-04 01:02:00,2296.5,-0.1071,0.71,0.8171,0.71,0.8171,-0.1071,49.4226,0.1063,0.629,0.0013
2024-02-04 01:03:00,2296.71,-0.1798,0.5924,0.7722,0.5924,0.7722,-0.1798,51.0808,0.183,-0.0281,0.001
2024-02-04 01:04:00,2296.4,-0.2427,0.4688,0.7115,0.4688,0.7115,-0.2427,48.8914,0.0922,-0.7476,0.0007
2024-02-04 01:05:00,2296.5,-0.2696,0.3745,0.6441,0.3745,0.6441,-0.2696,41.7929,-0.2021,-0.2143,0.0005
2024-02-04 01:06:00,2296.0,-0.31,0.2566,0.5666,0.2566,0.5666,-0.31,38.5817,-0.1162,1.1295,0.0003
2024-02-04 01:07:00,2296.0,-0.3243,0.1612,0.4855,0.1612,0.4855,-0.3243,42.126,0.1149,1.4581,-0.0001
2024-02-04 01:08:00,2295.6,-0.3462,0.0527,0.399,0.0527,0.399,-0.3462,43.8525,0.1708,0.6438,-0.0004
2024-02-04 01:09:00,2295.7,-0.3391,-0.0249,0.3142,-0.0249,0.3142,-0.3391,40.6069,0.0656,1.14,-0.0008
2024-02-04 01:10:00,2295.7,-0.3197,-0.0854,0.2343,-0.0854,0.2343,-0.3197,26.6071,-0.3881,1.5229,-0.001
2024-02-04 01:11:00,2296.7,-0.2291,-0.052,0.177,-0.052,0.177,-0.2291,34.9684,0.1952,1.0719,-0.0013
2024-02-04 01:12:00,2296.2,-0.1938,-0.0652,0.1286,-0.0652,0.1286,-0.1938,36.711,0.2359,-0.5429,-0.0015
2024-02-04 01:13:00,2297.4,-0.0861,0.0209,0.107,0.0209,0.107,-0.0861,43.6391,0.3977,-0.2567,-0.0015
2024-02-04 01:14:00,2297.7,0.0041,0.1121,0.1081,0.1121,0.1081,0.0041,43.3036,0.3898,-0.5429,-0.0013
2024-02-04 01:15:00,2297.6,0.053,0.1743,0.1213,0.1743,0.1213,0.053,45.9716,0.5471,-0.4667,-0.0011
