date,close,macd_histogram,macd_macd,macd_signal,MACD,Signal Line,Histogram,RSI,Stochastic RSI,DPO,CC
2024-01-04 00:02:00,2209.0,-0.1851,0.9383,1.1234,0.9383,1.1234,-0.1851,49.537,0.0179,-0.4376,0.002
2024-01-04 00:03:00,2210.2,-0.1759,0.9036,1.0795,0.9036,1.0795,-0.1759,54.2017,0.2014,-0.3948,0.0015
2024-01-04 00:04:00,2208.1,-0.3047,0.6986,1.0033,0.6986,1.0033,-0.3047,39.1129,-0.3922,-0.1829,0.0013
2024-01-04 00:05:00,2208.9,-0.3276,0.5938,0.9214,0.5938,0.9214,-0.3276,46.6942,0.2665,1.8776,0.0007
2024-01-04 00:06:00,2209.5,-0.2948,0.5528,0.8477,0.5528,0.8477,-0.2948,52.9661,0.487,1.9157,0.0004
2024-01-04 00:07:00,2209.67,-0.2558,0.528,0.7837,0.528,0.7837,-0.2558,53.2435,0.4968,0.2538,0.0001
2024-01-04 00:08:00,2214.1,0.0577,0.8559,0.7982,0.8559,0.7982,0.0577,65.2473,0.9188,1.1857,-0.0001
2024-01-04 00:09:00,2214.29,0.256,1.1182,0.8622,1.1182,0.8622,0.256,60.6104,0.7558,0.7214,0.0005
2024-01-04 00:10:00,2215.2,0.4171,1.3835,0.9664,1.3835,0.9664,0.4171,62.7517,0.8311,0.4743,0.0009
2024-01-04 00:11:00,2215.89,0.5314,1.6307,1.0993,1.6307,1.0993,0.5314,71.2562,1.13,-1.1114,0.0015
2024-01-04 00:12:00,2217.5,0.668,1.9342,1.2663,1.9342,1.2663,0.668,72.3549,1.0342,-1.7538,0.0023
2024-01-04 00:13:00,2216.7,0.6559,2.0862,1.4303,2.0862,1.4303,0.6559,69.7368,0.9212,-0.9252,0.0032
2024-01-04 00:14:00,2217.67,0.6628,2.2588,1.596,2.2588,1.596,0.6628,71.5523,0.9759,-3.4014,0.004
2024-01-04 00:15:00,2219.5,0.7347,2.5143,1.7796,2.5143,1.7796,0.7347,80.2395,1.2372,-3.019,0.0047
2024-01-04 00:16:00,2219.9,0.7505,2.7177,1.9673,2.7177,1.9673,0.7505,82.6347,1.0582,-2.9081,0.0059
2024-01-04 00:17:00,2218.9,0.6393,2.7664,2.1271,2.7664,2.1271,0.6393,76.3636,0.8559,-3.1476,0.0069
