date,close,macd_histogram,macd_macd,macd_signal,MACD,Signal Line,Histogram,RSI,Stochastic RSI,DPO,CC
2024-03-04 00:02:00,3487.6,0.1623,2.6514,2.4891,2.6514,2.4891,0.1623,63.5468,0.2947,-0.2048,0.0046
2024-03-04 00:03:00,3485.1,-0.2082,2.2289,2.4371,2.2289,2.4371,-0.2082,55.0,0.0377,-1.0952,0.0042
2024-03-04 00:04:00,3485.6,-0.4198,1.9123,2.3321,1.9123,2.3321,-0.4198,55.2036,0.006,2.5286,0.0036
2024-03-04 00:05:00,3491.6,-0.1688,2.1212,2.29,2.1212,2.29,-0.1688,63.8686,0.2622,2.1286,0.003
2024-03-04 00:06:00,3482.7,-0.5914,1.5506,2.1421,1.5506,2.1421,-0.5914,47.191,-0.2309,3.2333,0.0029
2024-03-04 00:07:00,3482.7,-0.8449,1.086,1.9309,1.086,1.9309,-0.8449,47.7273,0.0129,1.8,0.0019
2024-03-04 00:08:00,3485.33,-0.8092,0.9194,1.7286,0.9194,1.7286,-0.8092,45.6104,-0.038,4.9048,0.0009
2024-03-04 00:09:00,3487.92,-0.5949,0.9849,1.5798,0.9849,1.5798,-0.5949,49.7515,0.0958,4.0986,0.0002
2024-03-04 00:10:00,3487.47,-0.4725,0.9892,1.4617,0.9892,1.4617,-0.4725,46.8206,0.028,2.4214,-0.0002
2024-03-04 00:11:00,3491.1,-0.1527,1.2708,1.4235,1.2708,1.4235,-0.1527,53.7534,0.227,3.8038,-0.0007
2024-03-04 00:12:00,3493.1,0.1704,1.6365,1.4661,1.6365,1.4661,0.1704,52.3481,0.1878,0.1324,-0.0005
2024-03-04 00:13:00,3488.5,0.0571,1.5375,1.4804,1.5375,1.4804,0.0571,47.2569,0.0524,-2.801,-0.0003
2024-03-04 00:14:00,3489.0,0.0015,1.4822,1.4808,1.4822,1.4808,0.0015,49.6173,0.1538,-2.4819,-0.0003
2024-03-04 00:15:00,3493.1,0.2147,1.7491,1.5344,1.7491,1.5344,0.2147,52.6379,0.2697,3.2943,-0.0001
2024-03-04 00:16:00,3494.9,0.4379,2.0819,1.6439,2.0819,1.6439,0.4379,59.0796,0.7377,-5.8343,0.0005
2024-03-04 00:17:00,3495.1,0.5527,2.3348,1.7821,2.3348,1.7821,0.5527,63.1926,0.963,-6.1581,0.0011
2024-03-04 00:18:00,3495.17,0.5839,2.5119,1.9281,2.5119,1.9281,0.5839,62.7702,0.9398,-3.7852,0.0022
2024-03-04 00:19:00,3500.6,0.9018,3.0553,2.1535,3.0553,2.1535,0.9018,62.1951,0.9083,-1.5224,0.0032
2024-03-04 00:20:00,3501.8,1.1107,3.5419,2.4312,3.5419,2.4312,1.1107,82.7055,2.1098,-2.4105,0.0041
2024-03-04 00:21:00,3502.1,1.1804,3.9067,2.7263,3.9067,2.7263,1.1804,82.8814,1.0047,0.691,0.0053
2024-03-04 00:22:00,3503.0,1.1948,4.2197,3.025,4.2197,3.025,1.1948,81.8149,0.9714,2.0814,0.0064
2024-03-04 00:23:00,3503.85,1.1678,4.4848,3.3169,4.4848,3.3169,1.1678,80.5993,0.9367,-3.0948,0.0071
2024-03-04 00:24:00,3502.82,0.9938,4.5591,3.5654,4.5591,3.5654,0.9938,78.8425,0.888,-3.3686,0.0075
2024-03-04 00:25:00,3502.7,0.7924,4.5558,3.7635,4.5558,3.7635,0.7924,75.1082,0.7818,-0.1124,0.0079
2024-03-04 00:26:00,3504.9,0.7307,4.6769,3.9461,4.6769,3.9461,0.7307,75.3219,0.7878,0.8733,0.008
2024-03-04 00:27:00,3507.1,0.7582,4.8939,4.1357,4.8939,4.1357,0.7582,94.4976,1.3261,0.44,0.0079
2024-03-04 00:28:00,3512.63,1.0509,5.4493,4.3984,5.4493,4.3984,1.0509,95.565,1.0238,-0.6519,0.008
2024-03-04 00:29:00,3520.7,1.6541,6.4661,4.8119,6.4661,4.8119,1.6541,96.1538,1.0137,3.3529,0.0087
2024-03-04 00:30:00,3527.7,2.3484,7.7474,5.399,7.7474,5.399,2.3484,96.7236,1.0154,2.8686,0.0099
2024-03-04 00:31:00,3525.8,2.49,8.5115,6.0215,8.5115,6.0215,2.49,91.712,0.8549,1.2743,0.0114
2024-03-04 00:32:00,3526.4,2.4316,9.061,6.6294,9.061,6.6294,2.4316,91.8296,0.8583,0.349,0.0124
2024-03-04 00:33:00,3525.29,2.1362,9.2997,7.1635,9.2997,7.1635,2.1362,87.3978,0.7299,-0.4819,0.0133
2024-03-04 00:34:00,3523.5,1.6596,9.2379,7.5784,9.2379,7.5784,1.6596,82.2917,0.3323,-3.0448,0.0137
2024-03-04 00:35:00,3520.4,1.0069,8.837,7.8301,8.837,7.8301,1.0069,75.1374,0.0014,-4.8314,0.0136
2024-03-04 00:36:00,3520.01,0.4487,8.391,7.9423,8.391,7.9423,0.4487,73.6974,-0.0653,-4.1267,0.0132
2024-03-04 00:37:00,3523.4,0.2193,8.2164,7.9971,8.2164,7.9971,0.2193,75.4359,0.0755,-3.2081,0.0127
2024-03-04 00:38:00,3523.3,-0.0153,7.978,7.9933,7.978,7.9933,-0.0153,77.3067,0.1567,0.9648,0.0123
2024-03-04 00:39:00,3524.6,-0.1514,7.804,7.9554,7.804,7.9554,-0.1514,78.3092,0.2003,7.6919,0.0118
2024-03-04 00:40:00,3521.2,-0.5183,7.3075,7.8259,7.3075,7.8259,-0.5183,70.4363,-0.1416,13.2905,0.0112
2024-03-04 00:41:00,3523.4,-0.6521,7.0108,7.6628,7.0108,7.6628,-0.6521,70.4363,0.0,10.4095,0.0098
2024-03-04 00:42:00,3526.3,-0.5865,6.9297,7.5162,6.9297,7.5162,-0.5865,68.349,-0.0794,9.981,0.0084
2024-03-04 00:43:00,3525.25,-0.6502,6.7035,7.3537,6.7035,7.3537,-0.6502,57.5256,-0.3814,7.7186,0.0073
2024-03-04 00:44:00,3528.9,-0.4901,6.741,7.2311,6.741,7.2311,-0.4901,52.2321,-0.135,4.869,0.0059
2024-03-04 00:45:00,3523.9,-0.7491,6.2947,7.0439,6.2947,7.0439,-0.7491,46.8312,-0.1364,0.5762,0.0047
2024-03-04 00:46:00,3508.5,-1.9192,4.6449,6.5641,4.6449,6.5641,-1.9192,30.0134,-0.3737,-0.8176,0.0035
2024-03-04 00:47:00,3513.4,-2.2991,3.6902,5.9893,3.6902,5.9893,-2.2991,37.7599,0.135,2.2962,0.0009
2024-03-04 00:48:00,3497.8,-3.4669,1.6557,5.1226,1.6557,5.1226,-3.4669,29.4004,-0.0117,1.7914,-0.0007
2024-03-04 00:49:00,3497.5,-4.0829,0.0189,4.1018,0.0189,4.1018,-4.0829,30.7821,0.0283,3.5343,-0.0037
2024-03-04 00:50:00,3449.4,-7.362,-5.1007,2.2613,-5.1007,2.2613,-7.362,17.0939,-0.2516,0.8548,-0.0062
2024-03-04 00:51:00,3470.0,-7.7373,-7.4103,0.327,-7.4103,0.327,-7.7373,28.5542,0.1872,6.45,-0.0132
2024-03-04 00:52:00,3489.6,-6.3191,-7.5719,-1.2528,-7.5719,-1.2528,-6.3191,38.2986,0.3464,12.0976,-0.0172
2024-03-04 00:53:00,3474.94,-6.0231,-8.7817,-2.7586,-8.7817,-2.7586,-6.0231,34.2209,0.2798,12.7714,-0.0188
2024-03-04 00:54:00,3479.9,-5.1802,-9.2338,-4.0536,-9.2338,-4.0536,-5.1802,37.006,0.3733,18.8719,-0.0216
2024-03-04 00:55:00,3483.8,-4.0944,-9.1716,-5.0772,-9.1716,-5.0772,-4.0944,37.6728,0.3858,16.0333,-0.0232
2024-03-04 00:56:00,3491.9,-2.636,-8.3723,-5.7362,-8.3723,-5.7362,-2.636,39.6273,0.4396,2.5238,-0.0241
