date,close,macd_histogram,macd_macd,macd_signal
2023-12-13 18:00:00,2212.5,0.2159,0.6111,0.3952
2023-12-13 18:01:00,2213.47,0.2675,0.7296,0.462
2023-12-13 18:02:00,2213,0.2516,0.7766,0.525
2023-12-13 18:03:00,2212.7,0.2045,0.7806,0.5761
2023-12-13 18:04:00,2213.8,0.2293,0.8627,0.6334
2023-12-13 18:05:00,2215.04,0.3061,1.016,0.7099
2023-12-13 18:06:00,2214.02,0.2666,1.0432,0.7766
2023-12-13 18:07:00,2213.9,0.2132,1.0431,0.8299
2023-12-13 18:08:00,2213.1,0.1099,0.9673,0.8574
2023-12-13 18:09:00,2214.32,0.1094,0.9941,0.8847
2023-12-13 18:10:00,2213.3,0.0302,0.9225,0.8923
2023-12-13 18:11:00,2214.5,0.0475,0.9516,0.9041
2023-12-13 18:12:00,2217.16,0.2173,1.1758,0.9585
2023-12-13 18:13:00,2216.8,0.2806,1.3093,1.0286
2023-12-13 18:14:00,2217.64,0.3498,1.4659,1.1161
2023-12-13 18:15:00,2218.46,0.417,1.6374,1.2204
2023-12-13 18:16:00,2218.56,0.4326,1.7611,1.3285
2023-12-13 18:17:00,2218.93,0.4311,1.8674,1.4363
2023-12-13 18:18:00,2215.65,0.1852,1.6677,1.4826
2023-12-13 18:19:00,2216.9,0.0876,1.5921,1.5045
2023-12-13 18:20:00,2216.2,-0.0366,1.4588,1.4953
2023-12-13 18:21:00,2215.9,-0.1452,1.3138,1.459
2023-12-13 18:22:00,2214.1,-0.3339,1.0416,1.3755
2023-12-13 18:23:00,2214.87,-0.3981,0.878,1.276
2023-12-13 18:24:00,2212.4,-0.5867,0.5427,1.1294
2023-12-13 18:25:00,2211.4,-0.7482,0.194,0.9423
2023-12-13 18:26:00,2212.27,-0.7634,-0.0119,0.7515
2023-12-13 18:27:00,2213.04,-0.6905,-0.1117,0.5788
2023-12-13 18:28:00,2211.7,-0.6995,-0.2955,0.4039
2023-12-13 18:29:00,2211.94,-0.6568,-0.417,0.2398
2023-12-13 18:30:00,2210.41,-0.6954,-0.6295,0.0659
2023-12-13 18:31:00,2209.8,-0.7227,-0.8375,-0.1148
2023-12-13 18:32:00,2209.92,-0.6932,-0.9813,-0.2881
2023-12-13 18:33:00,2212.1,-0.4967,-0.9089,-0.4123
2023-12-13 18:34:00,2212.1,-0.3437,-0.8418,-0.4982
2023-12-13 18:35:00,2214.1,-0.0976,-0.6201,-0.5226
